"HH7_region","country_orig","name_orig","country_matched","NAME_1_matched","NAME_2_matched","NAME_3_matched","NAME_4_matched","NAME_1_matched_fuzz","NAME_2_matched_fuzz","NAME_3_matched_fuzz","NAME_4_matched_fuzz"
"MId Western Hill","Nepal","Dailekh","Nepal",NA,NA,"Dailekh",NA,NA,NA,NA,NA
"MId Western Hill","Nepal","Jajarkot","Nepal",NA,NA,"Jajarkot",NA,NA,NA,NA,NA
"MId Western Mountain","Nepal","Jumla","Nepal",NA,NA,"Jumla",NA,NA,NA,NA,NA
"MId Western Mountain","Nepal","Kalikot","Nepal",NA,NA,"Kalikot",NA,NA,NA,NA,NA
"MId Western Mountain","Nepal","Dolpa","Nepal",NA,NA,"Dolpa",NA,NA,NA,NA,NA
"MId Western Mountain","Nepal","Humla","Nepal",NA,NA,"Humla",NA,NA,NA,NA,NA
"MId Western Mountain","Nepal","Mugu","Nepal",NA,NA,"Mugu",NA,NA,NA,NA,NA
"MId WesternTerai","Nepal","Dang","Nepal",NA,NA,"Dang",NA,NA,NA,NA,NA
"MId WesternTerai","Nepal","Banke","Nepal",NA,NA,"Banke",NA,NA,NA,NA,NA
"MId WesternTerai","Nepal","Bardiya","Nepal",NA,NA,"Bardiya",NA,NA,NA,NA,NA
"Western  Hill","Nepal","Palpa","Nepal",NA,NA,"Palpa",NA,NA,NA,NA,NA
"Western  Hill","Nepal","Syangja","Nepal",NA,NA,"Syangja",NA,NA,NA,NA,NA
"Western  Hill","Nepal","Parbat","Nepal",NA,NA,"Parbat",NA,NA,NA,NA,NA
"Western  Hill","Nepal","Tanahu","Nepal",NA,NA,"Tanahu",NA,NA,NA,NA,NA
"Western  Hill","Nepal","Kaski","Nepal",NA,NA,"Kaski",NA,NA,NA,NA,NA
"Western  Hill","Nepal","Gorkha","Nepal",NA,NA,"Gorkha",NA,NA,NA,NA,NA
"Western  Hill","Nepal","Gulmi","Nepal",NA,NA,"Gulmi",NA,NA,NA,NA,NA
"Western  Hill","Nepal","Baglung","Nepal",NA,NA,"Baglung",NA,NA,NA,NA,NA
"Western  Hill","Nepal","Lamjung","Nepal",NA,NA,"Lamjung",NA,NA,NA,NA,NA
"Western  Hill","Nepal","Arghakhanchi","Nepal",NA,NA,"Arghakhanchi",NA,NA,NA,NA,NA
"Western  Hill","Nepal","Myagdi","Nepal",NA,NA,"Myagdi",NA,NA,NA,NA,NA
"Western  Terai","Nepal","Nawalparasi","Nepal",NA,NA,"Nawalparasi",NA,NA,NA,NA,NA
"Western  Terai","Nepal","Rupandehi","Nepal",NA,NA,"Rupandehi",NA,NA,NA,NA,NA
"Western  Terai","Nepal","Kapilbastu","Nepal",NA,NA,"Kapilbastu",NA,NA,NA,NA,NA
"Western Mountain","Nepal","Mustang","Nepal",NA,NA,"Mustang",NA,NA,NA,NA,NA
"Western Mountain","Nepal","Manang","Nepal",NA,NA,"Manang",NA,NA,NA,NA,NA
"ANDROY","Madagascar","Androy","Madagascar",NA,NA,NA,"Androy",NA,NA,NA,NA
"ANOSY","Madagascar","Anosy","Madagascar",NA,NA,NA,"Anosy",NA,NA,NA,NA
"Bandarban","Bangladesh","Bandarban","Bangladesh",NA,NA,NA,"Bandarban",NA,NA,NA,NA
"Barguna","Bangladesh","Barguna","Bangladesh",NA,NA,NA,"Barguna",NA,NA,NA,NA
"Chandpur","Bangladesh","Chandpur","Bangladesh",NA,NA,NA,"Chandpur",NA,NA,NA,NA
"Faridpur","Bangladesh","Faridpur","Bangladesh",NA,NA,NA,"Faridpur",NA,NA,NA,NA
"Gaibandha","Bangladesh","Gaibandha","Bangladesh",NA,NA,NA,"Gaibandha",NA,NA,NA,NA
"Gazipur","Bangladesh","Gazipur","Bangladesh",NA,NA,NA,"Gazipur",NA,NA,NA,NA
"IHOROMBE","Madagascar","Ihorombe","Madagascar",NA,NA,NA,"Ihorombe",NA,NA,NA,NA
"Jamalpur","Bangladesh","Jamalpur","Bangladesh",NA,NA,NA,"Jamalpur",NA,NA,NA,NA
"Khagrachhari","Bangladesh","Khagrachhari","Bangladesh",NA,NA,NA,"Khagrachhari",NA,NA,NA,NA
"Kushtia","Bangladesh","Kushtia","Bangladesh",NA,NA,NA,"Kushtia",NA,NA,NA,NA
"Lakshmipur","Bangladesh","Lakshmipur","Bangladesh",NA,NA,NA,"Lakshmipur",NA,NA,NA,NA
"Magura","Bangladesh","Magura","Bangladesh",NA,NA,NA,"Magura",NA,NA,NA,NA
"Munshiganj","Bangladesh","Munshiganj","Bangladesh",NA,NA,NA,"Munshiganj",NA,NA,NA,NA
"Naogaon","Bangladesh","Naogaon","Bangladesh",NA,NA,NA,"Naogaon",NA,NA,NA,NA
"Narail","Bangladesh","Narail","Bangladesh",NA,NA,NA,"Narail",NA,NA,NA,NA
"Noakhali","Bangladesh","Noakhali","Bangladesh",NA,NA,NA,"Noakhali",NA,NA,NA,NA
"Panchagarh","Bangladesh","Panchagarh","Bangladesh",NA,NA,NA,"Panchagarh",NA,NA,NA,NA
"Pirojpur","Bangladesh","Pirojpur","Bangladesh",NA,NA,NA,"Pirojpur",NA,NA,NA,NA
"Rangpur","Bangladesh","Rangpur","Bangladesh",NA,NA,NA,"Rangpur",NA,NA,NA,NA
"Sherpur","Bangladesh","Sherpur","Bangladesh",NA,NA,NA,"Sherpur",NA,NA,NA,NA
"Central Hill","Nepal","Ramechhap","Nepal",NA,NA,NA,"Ramechhap",NA,NA,NA,NA
"Central Hill","Nepal","Nuwakot","Nepal",NA,NA,NA,"Nuwakot",NA,NA,NA,NA
"Central Terai","Nepal","Rautahat","Nepal",NA,NA,NA,"Rautahat",NA,NA,NA,NA
"Central Terai","Nepal","Mahottari","Nepal",NA,NA,NA,"Mahottari",NA,NA,NA,NA
"Central Terai","Nepal","Parsa","Nepal",NA,NA,NA,"Parsa",NA,NA,NA,NA
"Eastern Hill","Nepal","Udayapur","Nepal",NA,NA,NA,"Udayapur",NA,NA,NA,NA
"Eastern Hill","Nepal","Okhaldhunga","Nepal",NA,NA,NA,"Okhaldhunga",NA,NA,NA,NA
"Eastern Hill","Nepal","Bhojpur","Nepal",NA,NA,NA,"Bhojpur",NA,NA,NA,NA
"Far WesternTerai","Nepal","Kanchanpur","Nepal",NA,NA,NA,"Kanchanpur",NA,NA,NA,NA
"MId Western Hill","Nepal","Salyan","Nepal",NA,NA,NA,"Salyan",NA,NA,NA,NA
"MId Western Mountain","Nepal","Mugu","Nepal",NA,NA,NA,"Mugu",NA,NA,NA,NA
"Western Mountain","Nepal","Manang","Nepal",NA,NA,NA,"Manang",NA,NA,NA,NA
"ADJARA A R ","Georgia","Adjara A r ","Georgia",NA,NA,NA,NA,"Ajaria",NA,NA,NA
"KHAKHETI","Georgia","Khakheti","Georgia",NA,NA,NA,NA,"Kakheti",NA,NA,NA
"MTKHETA MTIANETI","Georgia","Mtkheta Mtianeti","Georgia",NA,NA,NA,NA,"Mtskheta-Mtianeti",NA,NA,NA
"ALAOTRA MANGORO","Madagascar","Alaotra Mangoro","Madagascar",NA,NA,NA,NA,"Antananarivo",NA,NA,NA
"AMORON I MANIA","Madagascar","Amoron i Mania","Madagascar",NA,NA,NA,NA,"Antsiranana",NA,NA,NA
"ATSIMO ANDREFANA","Madagascar","Atsimo Andrefana","Madagascar",NA,NA,NA,NA,"Antsiranana",NA,NA,NA
"ATSIMO ATSINANANA","Madagascar","Atsimo Atsinanana","Madagascar",NA,NA,NA,NA,"Antsiranana",NA,NA,NA
"HAUTE MATSIATRA","Madagascar","Haute Matsiatra","Madagascar",NA,NA,NA,NA,"Toamasina",NA,NA,NA
"ANBAR","Iraq","Anbar","Iraq",NA,NA,NA,NA,"Al-Anbar",NA,NA,NA
"DIALA","Iraq","Diala","Iraq",NA,NA,NA,NA,"Diyala",NA,NA,NA
"DUHOK","Iraq","Duhok","Iraq",NA,NA,NA,NA,"Dihok",NA,NA,NA
"ERBIL","Iraq","Erbil","Iraq",NA,NA,NA,NA,"Arbil",NA,NA,NA
"KARBALAH","Iraq","Karbalah","Iraq",NA,NA,NA,NA,"Karbala'",NA,NA,NA
"MISAN","Iraq","Misan","Iraq",NA,NA,NA,NA,"Maysan",NA,NA,NA
"MUTHANA","Iraq","Muthana","Iraq",NA,NA,NA,NA,"Al-Muthannia",NA,NA,NA
"NAINAWA","Iraq","Nainawa","Iraq",NA,NA,NA,NA,"Ninawa",NA,NA,NA
"QADISYAH","Iraq","Qadisyah","Iraq",NA,NA,NA,NA,"Al-Qadisiyah",NA,NA,NA
"SALAHADDIN","Iraq","Salahaddin","Iraq",NA,NA,NA,NA,"Sala ad-Din",NA,NA,NA
"SULAIMANIYA","Iraq","Sulaimaniya","Iraq",NA,NA,NA,NA,"As-Sulaymaniyah",NA,NA,NA
"THIQAR","Iraq","Thiqar","Iraq",NA,NA,NA,NA,"Dhi-Qar",NA,NA,NA
"Barishal","Bangladesh","Barishal","Bangladesh",NA,NA,NA,NA,"Barisal",NA,NA,NA
"Bogura","Bangladesh","Bogura","Bangladesh",NA,NA,NA,NA,"Barisal",NA,NA,NA
"Bogura","Bangladesh","Bogura","Bangladesh",NA,NA,NA,NA,"Rangpur",NA,NA,NA
"Brahmanbaria","Bangladesh","Brahmanbaria","Bangladesh",NA,NA,NA,NA,"Rajshahi",NA,NA,NA
"Chapai Nawabganj","Bangladesh","Chapai Nawabganj","Bangladesh",NA,NA,NA,NA,"Chittagong",NA,NA,NA
"Chattogram","Bangladesh","Chattogram","Bangladesh",NA,NA,NA,NA,"Chittagong",NA,NA,NA
"Cox s Bazar","Bangladesh","Cox s Bazar","Bangladesh",NA,NA,NA,NA,"Barisal",NA,NA,NA
"Cumilla","Bangladesh","Cumilla","Bangladesh",NA,NA,NA,NA,"Khulna",NA,NA,NA
"Jashore","Bangladesh","Jashore","Bangladesh",NA,NA,NA,NA,"Rajshahi",NA,NA,NA
"Kishoregonj","Bangladesh","Kishoregonj","Bangladesh",NA,NA,NA,NA,"Chittagong",NA,NA,NA
"Narayangonj","Bangladesh","Narayangonj","Bangladesh",NA,NA,NA,NA,"Barisal",NA,NA,NA
"Netrokona","Bangladesh","Netrokona","Bangladesh",NA,NA,NA,NA,"Sylhet",NA,NA,NA
"Netrokona","Bangladesh","Netrokona","Bangladesh",NA,NA,NA,NA,"Khulna",NA,NA,NA
"Basse","Gambia","Basse","Gambia",NA,NA,NA,NA,"Banjul",NA,NA,NA
"Brikama","Gambia","Brikama","Gambia",NA,NA,NA,NA,"North Bank",NA,NA,NA
"Kerewan","Gambia","Kerewan","Gambia",NA,NA,NA,NA,"Western",NA,NA,NA
"Kuntaur","Gambia","Kuntaur","Gambia",NA,NA,NA,NA,"Banjul",NA,NA,NA
"Mansakonko","Gambia","Mansakonko","Gambia",NA,NA,NA,NA,"Maccarthy Island",NA,NA,NA
"BOTHA BOTHE","Lesotho","Botha Bothe","Lesotho",NA,NA,NA,NA,"Butha-Buthe",NA,NA,NA
"MOHALES HOEK","Lesotho","Mohales Hoek","Lesotho",NA,NA,NA,NA,"Mohale's Hoek",NA,NA,NA
"QACHAS NEK","Lesotho","Qachas Nek","Lesotho",NA,NA,NA,NA,"Qacha's Nek",NA,NA,NA
"Centrale","Togo","Centrale","Togo",NA,NA,NA,NA,"Centre",NA,NA,NA
"Golfe Urbain","Togo","Golfe Urbain","Togo",NA,NA,NA,NA,"Plateaux",NA,NA,NA
"CENTRE EST","Tunisia","Centre Est","Tunisia",NA,NA,NA,NA,"Bizerte",NA,NA,NA
"CENTRE OUEST","Tunisia","Centre Ouest","Tunisia",NA,NA,NA,NA,"Bizerte",NA,NA,NA
"DISTRICT TUNIS","Tunisia","District Tunis","Tunisia",NA,NA,NA,NA,"Kairouan",NA,NA,NA
"NORD EST","Tunisia","Nord Est","Tunisia",NA,NA,NA,NA,"Monastir",NA,NA,NA
"NORD OUEST","Tunisia","Nord Ouest","Tunisia",NA,NA,NA,NA,"Sousse",NA,NA,NA
"NORD OUEST","Tunisia","Nord Ouest","Tunisia",NA,NA,NA,NA,"Tozeur",NA,NA,NA
"SUD EST","Tunisia","Sud Est","Tunisia",NA,NA,NA,NA,"Sousse",NA,NA,NA
"SUD OUEST","Tunisia","Sud Ouest","Tunisia",NA,NA,NA,NA,"Sousse",NA,NA,NA
"CUVETTE OUEST","Republic of Congo","Cuvette Ouest","Republic of Congo",NA,NA,NA,NA,"Cuvette-Ouest",NA,NA,NA
"LEKOUMOU","Republic of Congo","Lekoumou","Republic of Congo",NA,NA,NA,NA,"Lékoumou",NA,NA,NA
"POINTE NOIRE","Republic of Congo","Pointe Noire","Republic of Congo",NA,NA,NA,NA,"Pointe Noire",NA,NA,NA
"FCT Abuja","Nigeria","Fct Abuja","Nigeria",NA,NA,NA,NA,"Kaduna",NA,NA,NA
"FCT Abuja","Nigeria","Fct Abuja","Nigeria",NA,NA,NA,NA,"Taraba",NA,NA,NA
"FERIZAJ","Kosovo","Ferizaj","Kosovo",NA,NA,NA,NA,"Prizren",NA,NA,NA
"GJAKOVA","Kosovo","Gjakova","Kosovo",NA,NA,NA,NA,"Ðakovica",NA,NA,NA
"GJILAN","Kosovo","Gjilan","Kosovo",NA,NA,NA,NA,"Gnjilane",NA,NA,NA
"MITROVICA","Kosovo","Mitrovica","Kosovo",NA,NA,NA,NA,"Ðakovica",NA,NA,NA
"PEJA","Kosovo","Peja","Kosovo",NA,NA,NA,NA,"Pecki",NA,NA,NA
"PRISHTINA","Kosovo","Prishtina","Kosovo",NA,NA,NA,NA,"Pristina",NA,NA,NA
"ONGO NIUA","Tonga","Ongo Niua","Tonga",NA,NA,NA,NA,"Tongatapu",NA,NA,NA
"Resto","Paraguay","Resto","Paraguay",NA,NA,NA,NA,"Presidente Hayes",NA,NA,NA
"SAB","Guinea-Bissau","Sab","Guinea-Bissau",NA,NA,NA,NA,"Gabú",NA,NA,NA
"ADJARA A R ","Georgia","Adjara A r ","Georgia",NA,NA,NA,NA,NA,"Gagra",NA,NA
"KHAKHETI","Georgia","Khakheti","Georgia",NA,NA,NA,NA,NA,"Shuakhevi",NA,NA
"MTKHETA MTIANETI","Georgia","Mtkheta Mtianeti","Georgia",NA,NA,NA,NA,NA,"Mtskheta",NA,NA
"ALAOTRA MANGORO","Madagascar","Alaotra Mangoro","Madagascar",NA,NA,NA,NA,NA,"Alaotra-Mangoro",NA,NA
"AMORON I MANIA","Madagascar","Amoron i Mania","Madagascar",NA,NA,NA,NA,NA,"Amoron'i mania",NA,NA
"ATSIMO ANDREFANA","Madagascar","Atsimo Andrefana","Madagascar",NA,NA,NA,NA,NA,"Atsimo-Andrefana",NA,NA
"ATSIMO ATSINANANA","Madagascar","Atsimo Atsinanana","Madagascar",NA,NA,NA,NA,NA,"Atsimo-Atsinana",NA,NA
"HAUTE MATSIATRA","Madagascar","Haute Matsiatra","Madagascar",NA,NA,NA,NA,NA,"Haute matsiatra",NA,NA
"ANBAR","Iraq","Anbar","Iraq",NA,NA,NA,NA,NA,"Anah",NA,NA
"DIALA","Iraq","Diala","Iraq",NA,NA,NA,NA,NA,"Balad",NA,NA
"DIALA","Iraq","Diala","Iraq",NA,NA,NA,NA,NA,"Kalar",NA,NA
"DUHOK","Iraq","Duhok","Iraq",NA,NA,NA,NA,NA,"Dahuk",NA,NA
"ERBIL","Iraq","Erbil","Iraq",NA,NA,NA,NA,NA,"Arbil",NA,NA
"KARBALAH","Iraq","Karbalah","Iraq",NA,NA,NA,NA,NA,"Karbala",NA,NA
"MISAN","Iraq","Misan","Iraq",NA,NA,NA,NA,NA,"Al Miamona",NA,NA
"MUTHANA","Iraq","Muthana","Iraq",NA,NA,NA,NA,NA,"Khanaqin",NA,NA
"NAINAWA","Iraq","Nainawa","Iraq",NA,NA,NA,NA,NA,"Rania",NA,NA
"QADISYAH","Iraq","Qadisyah","Iraq",NA,NA,NA,NA,NA,"Kadhimiya",NA,NA
"QADISYAH","Iraq","Qadisyah","Iraq",NA,NA,NA,NA,NA,"Mahmudiya",NA,NA
"SALAHADDIN","Iraq","Salahaddin","Iraq",NA,NA,NA,NA,NA,"Balad",NA,NA
"SULAIMANIYA","Iraq","Sulaimaniya","Iraq",NA,NA,NA,NA,NA,"Sulaymaniya",NA,NA
"THIQAR","Iraq","Thiqar","Iraq",NA,NA,NA,NA,NA,"Sinjar",NA,NA
"THIQAR","Iraq","Thiqar","Iraq",NA,NA,NA,NA,NA,"Tikrit",NA,NA
"THIQAR","Iraq","Thiqar","Iraq",NA,NA,NA,NA,NA,"Pshdar",NA,NA
"Barishal","Bangladesh","Barishal","Bangladesh",NA,NA,NA,NA,NA,"Barisal",NA,NA
"Bogura","Bangladesh","Bogura","Bangladesh",NA,NA,NA,NA,NA,"Bogra",NA,NA
"Brahmanbaria","Bangladesh","Brahmanbaria","Bangladesh",NA,NA,NA,NA,NA,"Brahamanbaria",NA,NA
"Chapai Nawabganj","Bangladesh","Chapai Nawabganj","Bangladesh",NA,NA,NA,NA,NA,"Nawabganj",NA,NA
"Chattogram","Bangladesh","Chattogram","Bangladesh",NA,NA,NA,NA,NA,"Chittagong",NA,NA
"Cox s Bazar","Bangladesh","Cox s Bazar","Bangladesh",NA,NA,NA,NA,NA,"Cox'S Bazar",NA,NA
"Cumilla","Bangladesh","Cumilla","Bangladesh",NA,NA,NA,NA,NA,"Comilla",NA,NA
"Jashore","Bangladesh","Jashore","Bangladesh",NA,NA,NA,NA,NA,"Jessore",NA,NA
"Kishoregonj","Bangladesh","Kishoregonj","Bangladesh",NA,NA,NA,NA,NA,"Kishoreganj",NA,NA
"Narayangonj","Bangladesh","Narayangonj","Bangladesh",NA,NA,NA,NA,NA,"Narayanganj",NA,NA
"Netrokona","Bangladesh","Netrokona","Bangladesh",NA,NA,NA,NA,NA,"Netrakona",NA,NA
"Basse","Gambia","Basse","Gambia",NA,NA,NA,NA,NA,"Banjul",NA,NA
"Brikama","Gambia","Brikama","Gambia",NA,NA,NA,NA,NA,"Niamina East",NA,NA
"Brikama","Gambia","Brikama","Gambia",NA,NA,NA,NA,NA,"Niamina West",NA,NA
"Kerewan","Gambia","Kerewan","Gambia",NA,NA,NA,NA,NA,"Kiang East",NA,NA
"Kuntaur","Gambia","Kuntaur","Gambia",NA,NA,NA,NA,NA,"Kantora",NA,NA
"Mansakonko","Gambia","Mansakonko","Gambia",NA,NA,NA,NA,NA,"Niamina Dankunku",NA,NA
"Centrale","Togo","Centrale","Togo",NA,NA,NA,NA,NA,"Kéran",NA,NA
"Golfe Urbain","Togo","Golfe Urbain","Togo",NA,NA,NA,NA,NA,"Golfe (incl Lomé)",NA,NA
"CENTRE EST","Tunisia","Centre Est","Tunisia",NA,NA,NA,NA,NA,"Sakiet Ezzit",NA,NA
"CENTRE OUEST","Tunisia","Centre Ouest","Tunisia",NA,NA,NA,NA,NA,"Ben Arous",NA,NA
"DISTRICT TUNIS","Tunisia","District Tunis","Tunisia",NA,NA,NA,NA,NA,"Sidi Bouzid Est",NA,NA
"NORD EST","Tunisia","Nord Est","Tunisia",NA,NA,NA,NA,NA,"Ksour Essef",NA,NA
"NORD OUEST","Tunisia","Nord Ouest","Tunisia",NA,NA,NA,NA,NA,"Kef Ouest",NA,NA
"SUD EST","Tunisia","Sud Est","Tunisia",NA,NA,NA,NA,NA,"Kef Est",NA,NA
"SUD OUEST","Tunisia","Sud Ouest","Tunisia",NA,NA,NA,NA,NA,"Sfax Ouest",NA,NA
"CUVETTE OUEST","Republic of Congo","Cuvette Ouest","Republic of Congo",NA,NA,NA,NA,NA,"Ouesso",NA,NA
"LEKOUMOU","Republic of Congo","Lekoumou","Republic of Congo",NA,NA,NA,NA,NA,"Loudima",NA,NA
"POINTE NOIRE","Republic of Congo","Pointe Noire","Republic of Congo",NA,NA,NA,NA,NA,"Pointe Noire",NA,NA
"FCT Abuja","Nigeria","Fct Abuja","Nigeria",NA,NA,NA,NA,NA,"Funtua",NA,NA
"FERIZAJ","Kosovo","Ferizaj","Kosovo",NA,NA,NA,NA,NA,"Srbica",NA,NA
"GJAKOVA","Kosovo","Gjakova","Kosovo",NA,NA,NA,NA,NA,"Ðakovica",NA,NA
"GJILAN","Kosovo","Gjilan","Kosovo",NA,NA,NA,NA,NA,"Gnjilane",NA,NA
"MITROVICA","Kosovo","Mitrovica","Kosovo",NA,NA,NA,NA,NA,"Ðakovica",NA,NA
"PEJA","Kosovo","Peja","Kosovo",NA,NA,NA,NA,NA,"Pec",NA,NA
"PRISHTINA","Kosovo","Prishtina","Kosovo",NA,NA,NA,NA,NA,"Priština",NA,NA
"Resto","Paraguay","Resto","Paraguay",NA,NA,NA,NA,NA,"Loreto",NA,NA
"SAB","Guinea-Bissau","Sab","Guinea-Bissau",NA,NA,NA,NA,NA,"Gabu",NA,NA
"ALAOTRA MANGORO","Madagascar","Alaotra Mangoro","Madagascar",NA,NA,NA,NA,NA,NA,"Taolagnaro",NA
"AMORON I MANIA","Madagascar","Amoron i Mania","Madagascar",NA,NA,NA,NA,NA,NA,"Morondava",NA
"ATSIMO ANDREFANA","Madagascar","Atsimo Andrefana","Madagascar",NA,NA,NA,NA,NA,NA,"Andramasina",NA
"ATSIMO ATSINANANA","Madagascar","Atsimo Atsinanana","Madagascar",NA,NA,NA,NA,NA,NA,"Antsiranana Urban",NA
"HAUTE MATSIATRA","Madagascar","Haute Matsiatra","Madagascar",NA,NA,NA,NA,NA,NA,"Ifanadiana",NA
"Barishal","Bangladesh","Barishal","Bangladesh",NA,NA,NA,NA,NA,NA,"Trishal",NA
"Bogura","Bangladesh","Bogura","Bangladesh",NA,NA,NA,NA,NA,NA,"Bogra Sadar",NA
"Brahmanbaria","Bangladesh","Brahmanbaria","Bangladesh",NA,NA,NA,NA,NA,NA,"Brahman Para",NA
"Chapai Nawabganj","Bangladesh","Chapai Nawabganj","Bangladesh",NA,NA,NA,NA,NA,NA,"Nawabganj",NA
"Chattogram","Bangladesh","Chattogram","Bangladesh",NA,NA,NA,NA,NA,NA,"Patgram",NA
"Cox s Bazar","Bangladesh","Cox s Bazar","Bangladesh",NA,NA,NA,NA,NA,NA,"Chak Bazar",NA
"Cumilla","Bangladesh","Cumilla","Bangladesh",NA,NA,NA,NA,NA,NA,"Sulla",NA
"Jashore","Bangladesh","Jashore","Bangladesh",NA,NA,NA,NA,NA,NA,"Tanore",NA
"Kishoregonj","Bangladesh","Kishoregonj","Bangladesh",NA,NA,NA,NA,NA,NA,"Kishoreganj",NA
"Narayangonj","Bangladesh","Narayangonj","Bangladesh",NA,NA,NA,NA,NA,NA,"Narayanganj Sadar",NA
"Netrokona","Bangladesh","Netrokona","Bangladesh",NA,NA,NA,NA,NA,NA,"Netrokona Sadar",NA
"ALAOTRA MANGORO","Madagascar","Alaotra Mangoro","Madagascar",NA,NA,NA,NA,NA,NA,NA,"Alasora"
"AMORON I MANIA","Madagascar","Amoron i Mania","Madagascar",NA,NA,NA,NA,NA,NA,NA,"Ambodiriana"
"ATSIMO ANDREFANA","Madagascar","Atsimo Andrefana","Madagascar",NA,NA,NA,NA,NA,NA,NA,"Ampondra"
"ATSIMO ATSINANANA","Madagascar","Atsimo Atsinanana","Madagascar",NA,NA,NA,NA,NA,NA,NA,"Antsiranana I"
"HAUTE MATSIATRA","Madagascar","Haute Matsiatra","Madagascar",NA,NA,NA,NA,NA,NA,NA,"Mahatsara"
"Barishal","Bangladesh","Barishal","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Barisal"
"Bogura","Bangladesh","Bogura","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Bagura"
"Brahmanbaria","Bangladesh","Brahmanbaria","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Brahman Para"
"Chapai Nawabganj","Bangladesh","Chapai Nawabganj","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Chapai Nababganj Paurashava"
"Chattogram","Bangladesh","Chattogram","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Chatra"
"Cox s Bazar","Bangladesh","Cox s Bazar","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Amin Bazar"
"Cumilla","Bangladesh","Cumilla","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Kulla"
"Cumilla","Bangladesh","Cumilla","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Dulla"
"Cumilla","Bangladesh","Cumilla","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Bulla"
"Cumilla","Bangladesh","Cumilla","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Sulla"
"Cumilla","Bangladesh","Cumilla","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Chila"
"Jashore","Bangladesh","Jashore","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Jashalong"
"Jashore","Bangladesh","Jashore","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Pashapole"
"Kishoregonj","Bangladesh","Kishoregonj","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Kishoreganj"
"Narayangonj","Bangladesh","Narayangonj","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Paranganj"
"Netrokona","Bangladesh","Netrokona","Bangladesh",NA,NA,NA,NA,NA,NA,NA,"Netrokona Paurashava"
